コード,銘柄名,02/04,02/03,01/31,01/30,01/29
9619,イチネンホールディングス,0.00,0.00,0.00,0.00,0.00
9622,スペース,0.00,-,0.00,0.00,0.00
9628,燦ホールディングス,0.00,0.00,0.00,0.00,0.00
9663,ナガワ,0.15,0.15,0.15,0.15,0.45
9675,常磐興産,0.05,0.05,0.05,0.05,0.15
9684,スクウェア・エニックス・ホールディングス,0.00,0.00,0.00,-,-
9697,カプコン,0.05,0.05,0.05,0.05,0.15
9706,日本空港ビルデング,0.10,-,0.10,-,0.30
9726,ＫＮＴ－ＣＴホールディングス,0.05,0.05,0.05,0.05,0.15
9728,日本管財,0.00,0.00,-,-,-
9729,トーカイ,0.05,0.05,0.05,0.05,0.15
9735,セコム,0.00,0.00,0.15,0.00,0.00
9740,セントラル警備保障,0.10,-,0.10,0.00,0.00
9742,アイネス,0.00,-,0.00,-,-
9743,丹青社,0.00,0.00,0.00,-,1.80
9744,メイテック,0.10,0.15,0.10,0.15,0.30
9746,ＴＫＣ,0.10,0.10,0.10,-,0.00
9757,船井総研ホールディングス,0.05,0.05,0.05,0.05,0.15
9759,ＮＳＤ,0.05,0.00,0.00,0.00,0.15
9765,オオバ,0.00,0.00,0.00,0.00,0.00
9766,コナミホールディングス,0.00,-,0.00,-,-
9783,ベネッセホールディングス,0.05,0.05,0.05,0.05,0.15
9787,イオンディライト,0.00,0.00,-,-,-
9795,ステップ,0.00,-,-,-,-
9824,泉州電業,0.05,0.05,0.05,0.05,0.15
9831,ヤマダ電機,0.05,0.05,0.05,0.05,0.15
9837,モリト,0.00,0.00,0.00,0.00,0.00
9842,アークランドサカモト,0.00,0.00,0.00,0.00,0.00
9843,ニトリホールディングス,0.30,-,0.30,0.00,0.00
9850,グルメ杵屋,0.00,0.00,0.00,0.05,0.00
9854,愛眼,0.00,0.00,0.00,0.00,0.00
9856,ケーユーホールディングス,0.00,0.00,0.00,0.00,0.00
9869,加藤産業,0.05,0.05,0.05,0.00,0.00
9872,北恵,0.00,0.00,0.00,0.00,0.00
9882,イエローハット,0.00,0.05,0.05,0.05,0.15
9887,松屋フーズホールディングス,0.10,0.00,0.00,0.10,0.00
9896,ＪＫホールディングス,0.00,0.00,0.00,0.00,0.00
9900,サガミホールディングス,0.05,0.05,0.05,0.05,0.15
9902,日伝,0.05,0.05,0.05,0.05,0.15
9919,関西スーパーマーケット,0.00,0.00,0.00,0.00,0.00
9928,ミロク情報サービス,0.00,0.00,0.00,0.00,0.00
9930,北沢産業,0.00,0.00,0.00,0.00,0.00
9945,プレナス,0.05,0.05,0.05,0.05,0.15
9946,ミニストップ,0.05,0.05,0.05,0.05,0.15
9962,ミスミグループ本社,0.05,0.05,0.05,0.05,0.15
9974,ベルク,0.10,0.10,0.10,0.10,0.30
9982,タキヒヨー,0.05,0.05,0.05,0.05,0.15
9983,ファーストリテイリング,0.00,-,0.00,-,-
9989,サンドラッグ,0.05,0.00,0.00,0.00,0.00
9994,やまや,0.00,0.00,0.00,0.00,0.00
